"questionId","domain","objectiveId","conceptId","type","contentSignatureGroupSize","signatureObjectiveCount","reviewStatus","reviewRationale"
"aplus-core2-034","Operating Systems","1.5","aplus-core2-1.5-10","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-035","Operating Systems","1.1","aplus-core2-1.1-11","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-036","Operating Systems","1.2","aplus-core2-1.2-12","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-037","Operating Systems","1.3","aplus-core2-1.3-13","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-038","Operating Systems","1.4","aplus-core2-1.4-14","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-039","Operating Systems","1.5","aplus-core2-1.5-15","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-040","Operating Systems","1.6","aplus-core2-1.6-16","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-041","Operating Systems","1.6","aplus-core2-1.6-17","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-042","Operating Systems","1.7","aplus-core2-1.7-18","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-043","Operating Systems","1.7","aplus-core2-1.7-19","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-044","Operating Systems","1.8","aplus-core2-1.8-20","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-045","Operating Systems","1.9","aplus-core2-1.9-21","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-046","Operating Systems","1.10","aplus-core2-1.10-22","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-047","Operating Systems","1.11","aplus-core2-1.11-23","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-048","Operating Systems","1.11","aplus-core2-1.11-24","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-049","Operating Systems","1.4","aplus-core2-1.4-01","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-050","Operating Systems","1.4","aplus-core2-1.4-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-051","Operating Systems","1.3","aplus-core2-1.3-03","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-052","Operating Systems","1.9","aplus-core2-1.9-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-053","Operating Systems","1.8","aplus-core2-1.8-05","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-054","Operating Systems","1.2","aplus-core2-1.2-06","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-055","Operating Systems","1.1","aplus-core2-1.1-07","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-056","Operating Systems","1.9","aplus-core2-1.9-08","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-057","Operating Systems","1.10","aplus-core2-1.10-09","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-058","Operating Systems","1.5","aplus-core2-1.5-10","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-059","Operating Systems","1.1","aplus-core2-1.1-11","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-060","Operating Systems","1.2","aplus-core2-1.2-12","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-061","Operating Systems","1.3","aplus-core2-1.3-13","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-062","Operating Systems","1.4","aplus-core2-1.4-14","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-063","Operating Systems","1.5","aplus-core2-1.5-15","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-064","Operating Systems","1.6","aplus-core2-1.6-16","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-065","Operating Systems","1.6","aplus-core2-1.6-17","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-066","Operating Systems","1.7","aplus-core2-1.7-18","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-067","Operating Systems","1.7","aplus-core2-1.7-19","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-068","Operating Systems","1.8","aplus-core2-1.8-20","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-069","Operating Systems","1.9","aplus-core2-1.9-21","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-070","Operating Systems","1.10","aplus-core2-1.10-22","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-071","Operating Systems","1.11","aplus-core2-1.11-23","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-072","Operating Systems","1.11","aplus-core2-1.11-24","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-073","Operating Systems","1.4","aplus-core2-1.4-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-074","Operating Systems","1.4","aplus-core2-1.4-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-075","Operating Systems","1.3","aplus-core2-1.3-03","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-076","Operating Systems","1.9","aplus-core2-1.9-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-077","Operating Systems","1.8","aplus-core2-1.8-05","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-078","Operating Systems","1.2","aplus-core2-1.2-06","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-079","Operating Systems","1.1","aplus-core2-1.1-07","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-080","Operating Systems","1.9","aplus-core2-1.9-08","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-081","Operating Systems","1.10","aplus-core2-1.10-09","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-082","Operating Systems","1.5","aplus-core2-1.5-10","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-083","Operating Systems","1.1","aplus-core2-1.1-11","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-084","Operating Systems","1.2","aplus-core2-1.2-12","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-085","Operating Systems","1.3","aplus-core2-1.3-13","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-086","Operating Systems","1.4","aplus-core2-1.4-14","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-087","Operating Systems","1.5","aplus-core2-1.5-15","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-088","Operating Systems","1.6","aplus-core2-1.6-16","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-089","Operating Systems","1.6","aplus-core2-1.6-17","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-090","Operating Systems","1.7","aplus-core2-1.7-18","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-091","Operating Systems","1.7","aplus-core2-1.7-19","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-092","Operating Systems","1.8","aplus-core2-1.8-20","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-093","Operating Systems","1.9","aplus-core2-1.9-21","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-094","Operating Systems","1.10","aplus-core2-1.10-22","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-095","Operating Systems","1.11","aplus-core2-1.11-23","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-096","Operating Systems","1.11","aplus-core2-1.11-24","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-097","Operating Systems","1.4","aplus-core2-1.4-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-098","Operating Systems","1.4","aplus-core2-1.4-02","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-099","Operating Systems","1.3","aplus-core2-1.3-03","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-100","Operating Systems","1.9","aplus-core2-1.9-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-101","Operating Systems","1.8","aplus-core2-1.8-05","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-102","Operating Systems","1.2","aplus-core2-1.2-06","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-103","Operating Systems","1.1","aplus-core2-1.1-07","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-104","Operating Systems","1.9","aplus-core2-1.9-08","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-105","Operating Systems","1.10","aplus-core2-1.10-09","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-106","Operating Systems","1.5","aplus-core2-1.5-10","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-107","Operating Systems","1.1","aplus-core2-1.1-11","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-108","Operating Systems","1.2","aplus-core2-1.2-12","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-109","Operating Systems","1.3","aplus-core2-1.3-13","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-110","Operating Systems","1.4","aplus-core2-1.4-14","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-111","Operating Systems","1.5","aplus-core2-1.5-15","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-112","Operating Systems","1.6","aplus-core2-1.6-16","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-113","Operating Systems","1.6","aplus-core2-1.6-17","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-114","Operating Systems","1.7","aplus-core2-1.7-18","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-115","Operating Systems","1.7","aplus-core2-1.7-19","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-116","Operating Systems","1.8","aplus-core2-1.8-20","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-117","Operating Systems","1.9","aplus-core2-1.9-21","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-118","Operating Systems","1.10","aplus-core2-1.10-22","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-119","Operating Systems","1.11","aplus-core2-1.11-23","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-120","Operating Systems","1.11","aplus-core2-1.11-24","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-121","Operating Systems","1.4","aplus-core2-1.4-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-122","Operating Systems","1.4","aplus-core2-1.4-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-123","Operating Systems","1.3","aplus-core2-1.3-03","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-124","Operating Systems","1.9","aplus-core2-1.9-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-125","Operating Systems","1.8","aplus-core2-1.8-05","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-126","Operating Systems","1.2","aplus-core2-1.2-06","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-127","Operating Systems","1.1","aplus-core2-1.1-07","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-128","Operating Systems","1.9","aplus-core2-1.9-08","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-129","Operating Systems","1.10","aplus-core2-1.10-09","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-130","Operating Systems","1.5","aplus-core2-1.5-10","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-131","Operating Systems","1.1","aplus-core2-1.1-11","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-132","Operating Systems","1.2","aplus-core2-1.2-12","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-133","Operating Systems","1.3","aplus-core2-1.3-13","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-134","Operating Systems","1.4","aplus-core2-1.4-14","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-135","Operating Systems","1.5","aplus-core2-1.5-15","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-136","Operating Systems","1.6","aplus-core2-1.6-16","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-137","Operating Systems","1.6","aplus-core2-1.6-17","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-138","Operating Systems","1.7","aplus-core2-1.7-18","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-139","Operating Systems","1.7","aplus-core2-1.7-19","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-140","Operating Systems","1.8","aplus-core2-1.8-20","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-141","Operating Systems","1.9","aplus-core2-1.9-21","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-142","Operating Systems","1.10","aplus-core2-1.10-22","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-143","Operating Systems","1.11","aplus-core2-1.11-23","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-144","Operating Systems","1.11","aplus-core2-1.11-24","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-145","Operating Systems","1.4","aplus-core2-1.4-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-146","Operating Systems","1.4","aplus-core2-1.4-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-147","Operating Systems","1.3","aplus-core2-1.3-03","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-148","Operating Systems","1.9","aplus-core2-1.9-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-149","Operating Systems","1.8","aplus-core2-1.8-05","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-150","Operating Systems","1.2","aplus-core2-1.2-06","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-151","Operating Systems","1.1","aplus-core2-1.1-07","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-152","Operating Systems","1.9","aplus-core2-1.9-08","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-153","Operating Systems","1.10","aplus-core2-1.10-09","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-154","Operating Systems","1.5","aplus-core2-1.5-10","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-155","Operating Systems","1.1","aplus-core2-1.1-11","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-156","Operating Systems","1.2","aplus-core2-1.2-12","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-157","Operating Systems","1.3","aplus-core2-1.3-13","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-158","Operating Systems","1.4","aplus-core2-1.4-14","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-159","Operating Systems","1.5","aplus-core2-1.5-15","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-160","Operating Systems","1.6","aplus-core2-1.6-16","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-161","Operating Systems","1.6","aplus-core2-1.6-17","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-162","Operating Systems","1.7","aplus-core2-1.7-18","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-163","Operating Systems","1.7","aplus-core2-1.7-19","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-164","Operating Systems","1.8","aplus-core2-1.8-20","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-165","Operating Systems","1.9","aplus-core2-1.9-21","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-166","Operating Systems","1.10","aplus-core2-1.10-22","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-167","Operating Systems","1.11","aplus-core2-1.11-23","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-168","Operating Systems","1.11","aplus-core2-1.11-24","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-169","Operating Systems","1.4","aplus-core2-1.4-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-170","Operating Systems","1.4","aplus-core2-1.4-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-171","Operating Systems","1.3","aplus-core2-1.3-03","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-172","Operating Systems","1.9","aplus-core2-1.9-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-173","Operating Systems","1.8","aplus-core2-1.8-05","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-174","Operating Systems","1.2","aplus-core2-1.2-06","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-175","Operating Systems","1.1","aplus-core2-1.1-07","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-176","Operating Systems","1.9","aplus-core2-1.9-08","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-177","Operating Systems","1.10","aplus-core2-1.10-09","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-178","Operating Systems","1.5","aplus-core2-1.5-10","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-179","Operating Systems","1.1","aplus-core2-1.1-11","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-180","Operating Systems","1.2","aplus-core2-1.2-12","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-181","Operating Systems","1.3","aplus-core2-1.3-13","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-182","Operating Systems","1.4","aplus-core2-1.4-14","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-183","Operating Systems","1.5","aplus-core2-1.5-15","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-184","Operating Systems","1.6","aplus-core2-1.6-16","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-185","Operating Systems","1.6","aplus-core2-1.6-17","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-186","Operating Systems","1.7","aplus-core2-1.7-18","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-187","Operating Systems","1.7","aplus-core2-1.7-19","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-188","Operating Systems","1.8","aplus-core2-1.8-20","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-189","Operating Systems","1.9","aplus-core2-1.9-21","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
